sample	aneuploidy_score
GENIE-MSK-P-0000259-T02-IM6	0.0731707317073171
GENIE-MSK-P-0000260-T01-IM3	0.195121951219512
GENIE-MSK-P-0000261-T01-IM3	0.48780487804878
GENIE-MSK-P-0000263-T01-IM3	0.0731707317073171
GENIE-MSK-P-0000266-T01-IM3	0.536585365853659
GENIE-MSK-P-0000267-T01-IM3	0.853658536585366
GENIE-MSK-P-0000268-T01-IM3	0.0487804878048781
GENIE-MSK-P-0000268-T02-IM7	0.642857142857143
GENIE-MSK-P-0000269-T01-IM3	0.634146341463415
GENIE-MSK-P-0000270-T01-IM3	0.414634146341463
GENIE-MSK-P-0000271-T01-IM3	0.268292682926829
GENIE-MSK-P-0000272-T01-IM3	0.0731707317073171
GENIE-MSK-P-0000273-T01-IM3	0.341463414634146
GENIE-MSK-P-0000274-T01-IM3	0.390243902439024
GENIE-MSK-P-0000275-T01-IM3	0.414634146341463
GENIE-MSK-P-0000276-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000277-T01-IM3	0.292682926829268
GENIE-MSK-P-0000277-T02-IM6	0.195121951219512
GENIE-MSK-P-0000278-T01-IM3	0.121951219512195
GENIE-MSK-P-0000279-T01-IM3	0.121951219512195
GENIE-MSK-P-0000280-T01-IM3	0.439024390243902
GENIE-MSK-P-0000281-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000281-T02-IM3	0.414634146341463
GENIE-MSK-P-0000282-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000282-T02-IM5	0.560975609756098
GENIE-MSK-P-0000283-T01-IM3	0.170731707317073
GENIE-MSK-P-0000284-T01-IM3	0.24390243902439
GENIE-MSK-P-0000285-T01-IM3	0.0487804878048781
GENIE-MSK-P-0000286-T01-IM3	0.195121951219512
GENIE-MSK-P-0000287-T01-IM3	0.731707317073171
GENIE-MSK-P-0000288-T01-IM3	0.317073170731707
GENIE-MSK-P-0000289-T01-IM3	0.121951219512195
GENIE-MSK-P-0000290-T01-IM3	0.24390243902439
GENIE-MSK-P-0000291-T01-IM3	0.268292682926829
GENIE-MSK-P-0000292-T01-IM3	0.292682926829268
GENIE-MSK-P-0000293-T01-IM3	0.317073170731707
GENIE-MSK-P-0000295-T01-IM3	0.0487804878048781
GENIE-MSK-P-0000296-T01-IM3	0.365853658536585
GENIE-MSK-P-0000298-T01-IM3	0.536585365853659
GENIE-MSK-P-0000299-T01-IM3	0.219512195121951
GENIE-MSK-P-0000300-T01-IM3	0
GENIE-MSK-P-0000301-T01-IM3	0.195121951219512
GENIE-MSK-P-0000302-T01-IM3	0
GENIE-MSK-P-0000302-T02-IM6	0.0487804878048781
